,10亿,9亿,8亿,7亿,6亿,5亿,4亿,3亿,2亿,1亿
10亿,3.19,3.26,3.36,3.48,3.65,3.88,4.22,4.8,5.95,9.4
9亿,3.12,3.19,3.27,3.38,3.53,3.74,4.05,4.57,5.6,8.71
8亿,3.05,3.11,3.19,3.28,3.42,3.6,3.88,4.34,5.26,8.02
7亿,2.98,3.03,3.1,3.19,3.3,3.46,3.7,4.11,4.91,7.33
6亿,2.91,2.96,3.01,3.09,3.19,3.32,3.53,3.88,4.57,6.64
5亿,2.84,2.88,2.93,2.99,3.07,3.19,3.36,3.65,4.22,5.95
4亿,2.77,2.8,2.84,2.89,2.96,3.05,3.19,3.42,3.88,5.26
3亿,2.7,2.73,2.75,2.79,2.84,2.91,3.01,3.19,3.53,4.57
2亿,2.63,2.65,2.67,2.69,2.73,2.77,2.84,2.96,3.19,3.88
1亿,2.56,2.57,2.58,2.59,2.61,2.63,2.67,2.73,2.84,3.19
